action_key;cache_hit;created_at;credits;granted_by_admin;id;inr_value;manual_cost_inr;manual_minutes;metadata;promo_code;razorpay_order_id;razorpay_payment_id;reason;store_id;type
;false;2026-07-15 09:51:03.407859+00;100;;d826325d-5f4d-429c-897b-2653e34d7cc8;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;abed0fec-3e57-47eb-8781-e7beac7ceb0e;bonus
generate-product;false;2026-07-15 10:27:33.603266+00;8;;f27dcc00-7054-44e0-a726-cd505c3afe52;0.720;150;15;{};;;;;abed0fec-3e57-47eb-8781-e7beac7ceb0e;debit
generate-product;false;2026-07-15 10:31:22.206404+00;8;;766adad3-4213-418a-a47c-e95f80abd9d2;0.720;150;15;{};;;;;abed0fec-3e57-47eb-8781-e7beac7ceb0e;debit
;false;2026-07-15 10:43:35.660087+00;100;;14187dd7-ccfa-4997-8745-d0661885d900;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;12195d43-1057-413c-aebb-f977210b36a2;bonus
;false;2026-07-15 14:00:17.819319+00;100;;11c943b0-5c39-4312-b8d7-8f4030ac36f5;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;c23ccdea-b646-4786-8453-1ce50d20af0e;bonus
;false;2026-07-15 21:30:48.299173+00;100;;00090c22-7723-471d-b8a8-bd7e658756a6;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;903c083f-c67b-4dd2-8112-1c9a3571b446;bonus
;false;2026-07-15 22:45:30.877746+00;100;;e1876c03-1689-4d91-9345-d6265e92b8d5;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;26911643-9d1e-4382-839f-ad5a7b2f3a43;bonus
;false;2026-07-16 07:53:39.451638+00;100;;07df3253-1d41-46e4-9423-02924a546222;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;3079ef7e-9482-41c5-96b1-b06eba72b4d6;bonus
;false;2026-07-16 08:11:15.009495+00;100;;4f5a16d0-248c-49e3-bba6-708009102e1c;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;a6f7d2eb-1cbe-42f5-916b-79d33cc54bb3;bonus
generate-product-image;false;2026-07-16 08:18:28.896214+00;10;;2695a040-abd4-4a08-9aa7-100c5e997589;0.900;200;8;{};;;;;a6f7d2eb-1cbe-42f5-916b-79d33cc54bb3;debit
generate-product-image;false;2026-07-16 08:18:49.603374+00;10;;027d6546-6a8f-4b83-8356-dd6e48f0b6dc;0.900;200;8;{};;;;;a6f7d2eb-1cbe-42f5-916b-79d33cc54bb3;debit
generate-product-image;false;2026-07-16 08:19:15.30533+00;10;;6337f5af-add6-4006-accd-c0650bf7d81f;0.900;200;8;{};;;;;a6f7d2eb-1cbe-42f5-916b-79d33cc54bb3;debit
